week_start,news_date,headline,repeat_count
2020-01-27,2020-01-30,US Dollar Exchange Rates for 30/01/2020 (30 January 2020),233
2020-01-27,2020-01-30,"January 30, 2020 - Voice of America",15
2020-01-27,2020-01-30,"CNN 10 - January 31, 2020",44
2020-01-27,2020-01-31,US Dollar Exchange Rates for 31/01/2020 (31 January 2020),84
2020-01-27,2020-01-31,"The News Roundup For January 31, 2020 : 1A - NPR",14
2020-01-27,2020-01-31,Exchange Rates History for 31 January 2020 (31/01/2020),294
2020-01-27,2020-02-01,Iraqi Dinar Exchange Rates for 02/01/2020 ( 2 January 2020),5
2020-01-27,2020-02-02,First Global Palindrome Day In 909 Years Happens On 02/02/2020,3
2020-01-27,2020-02-02,Jamaican Dollar Exchange Rates for 02/02/2020 ( 2 February 2020),5
2020-01-27,2020-02-02,Mexican Peso Exchange Rates for 02/02/2020 ( 2 February 2020),12
2020-02-03,2020-02-03,Phys.org | Archive : 02/03/2020,12
2020-02-03,2020-02-04,"Mega Millions lottery: Did you win Tuesday’s $168M Mega Millions drawing? Live results, winning numbers (02/04/2020) - nj.com",42
2020-02-03,2020-02-04,Moroccan Dirham Exchange Rates for 02/04/2020 ( 2 April 2020),4
2020-02-03,2020-02-04,Mega Millions results for 02/04/2020; jackpot $168 million,64
2020-02-03,2020-02-05,Swedish Krona Exchange Rates for 02/05/2020 ( 2 May 2020),3
2020-02-03,2020-02-05,Indian Rupee Exchange Rates for 02/05/2020 ( 2 May 2020),7
2020-02-03,2020-02-05,"Powerball lottery: Did you win Wednesday’s $50M Powerball drawing? Winning numbers, live results (02/05/2020)",9
2020-02-17,2020-02-19,Greater Boston | Greater Boston Full Show 02/19/2020 | Season 2020 | Episode 202020139 - PBS,3
2020-02-17,2020-02-22,Powerball Numbers For 02/22/20: Saturday Jackpot was $60 Million,41
2020-03-02,2020-03-03,"2020 ACC tournament: Bracket, schedule, scores - NCAA.com",4
2020-03-02,2020-03-03,Japanese Yen Exchange Rates for 03/03/2020 ( 3 March 2020),8
2020-03-02,2020-03-03,Pakistani Rupee Exchange Rates for 03/03/2020 ( 3 March 2020),3
2020-03-02,2020-03-06,Canadian Dollar Exchange Rates for 03/06/2020 ( 3 June 2020),11
2020-03-02,2020-03-06,"Newsweek Magazine March 06, 2020 Issue",12
2020-03-09,2020-03-09,King County deaths (03/09/2020) - seattlepi.com,18
2020-03-09,2020-03-12,British Pound Exchange Rates for 03/12/2020 ( 3 December 2020),9
2020-03-09,2020-03-12,"NPR's 100 Best Songs Of 2020, Ranked : NPR",3
2020-03-16,2020-03-16,"Coronavirus updates from March 16, 2020 - CBS News",19
2020-03-23,2020-03-28,Billboard Hot 100™,9
2020-03-30,2020-03-30,"USNI News Fleet and Marine Tracker: March 30, 2020",14
2020-03-30,2020-03-31,What You Need To Know About The 2020 Census - NPR,3
2020-04-13,2020-04-18,The Coronavirus in America: The Year Ahead - The New York Times,5
2020-07-13,2020-07-18,Euro Exchange Rates for 18/07/2020 (18 July 2020),8
2020-07-20,2020-07-22,July 22 Tokyo 2020 Olympics news and results - CNN,4
2020-08-24,2020-08-29,"The Shows: Sunday listings for Aug. 30, 2020 - POLITICO",7
2020-08-31,2020-09-02,Oscar Winners 2020: The Complete List - The New York Times,6
2020-10-19,2020-10-25,"Colorado snow totals for Oct. 25-26, 2020 - The Denver Post",35
2020-11-30,2020-12-03,Best Movies of 2020 - The New York Times,6
2020-12-14,2020-12-15,12-15-2020 Daily Edition - The Hollywood Reporter,25
2021-01-04,2021-01-05,Canadian Dollar to US Dollar History: 2021 - Exchange Rates UK,11
2021-01-04,2021-01-06,Euro to US Dollar History: 2021 - Exchange Rates UK,14
2021-01-11,2021-01-11,Indian Rupee to US Dollar History: 2021 - Exchange Rates UK,3
2021-01-25,2021-01-28,"Daily Horoscope For January 28, 2021 - Bustle",41
2021-01-25,2021-01-29,"Daily horoscope for January 29, 2021 – Chicago Tribune",32
2021-01-25,2021-01-29,"WWE SmackDown Results: Winners, News And Notes On January 29, 2021 - Forbes",6
2021-02-15,2021-02-19,"Stock Market News for Feb 19, 2021 - Nasdaq",3
2021-03-15,2021-03-17,Business in Brief: 03/17/2021 | Business | record-eagle.com,3
2021-11-29,2021-12-03,Our Most Popular Recipes of 2021 - The New York Times,5
2021-12-06,2021-12-12,"Full transcript of ""Face the Nation"" on December 12, 2021",14
2022-01-10,2022-01-12,Best TV Shows of 2022 - The New York Times,4
2022-01-17,2022-01-17,"Saints at Eagles Week 17 Game Center - January 1, 2023 - New Orleans Saints",9
2022-02-07 00:00:00,2022-02-11 00:00:00,Exchange Rates History for 2 November 2022 (02/11/2022),312
2022-02-07 00:00:00,2022-02-11 00:00:00,Powerball winning numbers for 11/02/22: $1.20 Billion Jackpot,57
2022-02-07 00:00:00,2022-02-11 00:00:00,$1.2 billion Powerball jackpot numbers drawn - New York Post,4
2022-02-07 00:00:00,2022-02-11 00:00:00,Windows 11’s 2022 Update has something new for everyone,9
2022-02-07 00:00:00,2022-02-12 00:00:00,"Oil companies' 2022 profits: How much did Exxon, BP and more make? - USA TODAY",5
2022-02-07 00:00:00,2022-02-12 00:00:00,Mega Millions winning numbers for 12/02/22: $333 Million Jackpot,59
2022-02-07 00:00:00,2022-02-12 00:00:00,"The News Roundup For December 2, 2022 : 1A - NPR",15
2022-02-07 00:00:00,2022-02-12 00:00:00,Canadian Dollar Exchange Rates for 02/12/2022 ( 2 December 2022),27
2022-02-07 00:00:00,2022-02-13 00:00:00,"Mega Millions numbers for 12/13/2022, Tuesday jackpot was $400 million - Newsweek",3
2022-02-07 00:00:00,2022-02-13 00:00:00,"November 13, 2022 - Voice of America",18
2022-02-14 00:00:00,2022-02-14 00:00:00,US Dollar Exchange Rates for 14/02/2022 (14 February 2022),257
2022-02-14 00:00:00,2022-02-14 00:00:00,Powerball winning numbers for Feb. 14's $185.3M lottery jackpot - IndyStar,15
2022-02-14 00:00:00,2022-02-14 00:00:00,"Powerball lottery: Did you win Monday’s $183M Powerball drawing? Winning numbers, live results (02/14/2022)",33
2022-02-14 00:00:00,2022-02-15 00:00:00,Mega Millions numbers for Feb. 15: $53M lottery drawing results - Courier-Journal,5
2022-02-14 00:00:00,2022-02-15 00:00:00,US Dollar Exchange Rates for 15/02/2022 (15 February 2022),34
2022-02-14 00:00:00,2022-02-15 00:00:00,"Mega Millions lottery: Did you win Tuesday’s $53M drawing? Winning numbers, live results (02/15/22) - nj.com",12
2022-02-14 00:00:00,2022-02-16 00:00:00,"Colorado snow totals for Feb. 16-17, 2022 - The Denver Post",34
2022-02-14 00:00:00,2022-02-16 00:00:00,Powerball numbers for Feb. 16: $20M lottery drawing results - IndyStar,3
2022-02-14 00:00:00,2022-02-16 00:00:00,"Daily horoscope for February 16, 2022 – The Denver Post",115
2022-02-14 00:00:00,2022-02-17 00:00:00,Today’s news in 10 minutes - CNN,10
2022-02-14 00:00:00,2022-02-18 00:00:00,US Dollar Exchange Rates for 18/02/2022 (18 February 2022),9
2022-02-14 00:00:00,2022-02-18 00:00:00,"Newsweek Magazine February 18, 2022 Issue",13
2022-02-14 00:00:00,2022-02-19 00:00:00,"Daily horoscope for February 19, 2022 – The Denver Post",3
2022-02-14 00:00:00,2022-02-19 00:00:00,US Dollar Exchange Rates for 19/02/2022 (19 February 2022),4
2022-02-21 00:00:00,2022-02-22 00:00:00,A rare day: Palindrome day 02/22/2022 - KBTX News 3,7
2022-03-07 00:00:00,2022-03-07 00:00:00,Phys.org | Archive : 03/07/2022,12
2022-03-07 00:00:00,2022-03-07 00:00:00,Moroccan Dirham Exchange Rates for 03/07/2022 ( 3 July 2022),4
2022-03-07 00:00:00,2022-03-09 00:00:00,Mexican Peso Exchange Rates for 03/09/2022 ( 3 September 2022),10
2022-03-07 00:00:00,2022-03-11 00:00:00,Japanese Yen Exchange Rates for 03/11/2022 ( 3 November 2022),8
2022-04-25 00:00:00,2022-05-01 00:00:00,US Dollar to Euro History: 2022 - Exchange Rates UK,14
2022-04-25 00:00:00,2022-05-01 00:00:00,"Full transcript of ""Face the Nation"" on May 1, 2022 - CBS News",14
2022-05-02 00:00:00,2022-05-04 00:00:00,05-04-2022 Daily Edition - The Hollywood Reporter,25
2022-05-02 00:00:00,2022-05-08 00:00:00,Man sentenced to life in prison for 2022 murder of Jailin Tilghman-Deablo - WECT TV6,3
2022-05-09 00:00:00,2022-05-11 00:00:00,Billboard Hot 100™,9
2022-05-09 00:00:00,2022-05-11 00:00:00,"Powerball winning numbers from the Nov. 5, 2022, drawing - USA TODAY",4
2022-05-09 00:00:00,2022-05-13 00:00:00,"Saints at Buccaneers Week 13 Game Center - December 5, 2022 - New Orleans Saints",8
2022-05-16 00:00:00,2022-05-21 00:00:00,Man sentenced to 30 years as part of plea deal for 2022 murder in Leon Valley - KSAT.com,3
2022-06-06 00:00:00,2022-06-12 00:00:00,The best movies of 2022 (so far). And where to find them,4
2022-06-06 00:00:00,2022-06-12 00:00:00,Best Music of 2022 : NPR,8
2022-06-20 00:00:00,2022-06-23 00:00:00,"Weekly News Quiz: June 23, 2022 - CNN",4
2022-07-04 00:00:00,2022-07-08 00:00:00,NPR's top picks for 2022 fiction books,5
2022-07-04 00:00:00,2022-07-09 00:00:00,Powerball $48 million jackpot (07/09/22): When and how to find out if you’ve won,3
2022-08-01 00:00:00,2022-08-01 00:00:00,"UPDATED: USNI News Fleet and Marine Tracker: Aug. 1, 2022",15
2022-09-19 00:00:00,2022-09-23 00:00:00,British Pound Exchange Rates for 23/09/2022 (23 September 2022),11
2022-09-19 00:00:00,2022-09-25 00:00:00,"The Shows: Sunday listings for Sept. 25, 2022 - POLITICO",8
2022-09-26 00:00:00,2022-09-29 00:00:00,"The Best New Movies And Shows On Netflix Today: September 29, 2022",15
2022-11-07 00:00:00,2022-11-09 00:00:00,"Nov. 9, 2022 US election coverage | CNN Politics",4
2022-11-07 00:00:00,2022-11-09 00:00:00,CMA Awards 2022: See the full list of winners | CNN,3
2022-11-21 00:00:00,2022-11-21 00:00:00,"WWE Raw Results: Winners, News And Notes On November 21, 2022 - Forbes",4
2022-11-21 00:00:00,2022-11-21 00:00:00,Euro Exchange Rates for 21/11/2022 (21 November 2022),8
2022-11-21 00:00:00,2022-11-21 00:00:00,"Nov. 21, 2022 coverage of the World Cup - CNN",5
2022-11-28 00:00:00,2022-11-29 00:00:00,Exchange Rates History for 29 November 2022 (29/11/2022),340
2022-11-28 00:00:00,2022-11-29 00:00:00,"Colorado snow totals for Nov. 29, 2022 - The Denver Post",35
2022-11-28 00:00:00,2022-11-29 00:00:00,The 10 Best Books of 2022 - The New York Times,6
2022-11-28 00:00:00,2022-11-29 00:00:00,US Dollar Exchange Rates for 29/11/2022 (29 November 2022),276
2022-11-28 00:00:00,2022-11-29 00:00:00,"Mega Millions lottery: Did you win Tuesday’s $305M Mega Millions drawing? Winning numbers, live results (11/29/22)",36
2022-11-28 00:00:00,2022-11-29 00:00:00,"Mega Millions Numbers for 11/29/2022, Tuesday Jackpot Was $305 Million",51
2022-11-28 00:00:00,2022-11-30 00:00:00,"Powerball lottery: Did you win Wednesday’s $65M Powerball drawing? Winning numbers, live results (11/30/2022) - nj.com",14
2022-11-28 00:00:00,2022-11-30 00:00:00,Best Albums of 2022 (Published 2022) - The New York Times,4
2022-11-28 00:00:00,2022-11-30 00:00:00,US Dollar Exchange Rates for 30/11/2022 (30 November 2022),12
2022-11-28 00:00:00,2022-12-01 00:00:00,Best TV Shows of 2022 - The New York Times,9
2022-11-28 00:00:00,2022-12-02 00:00:00,"The News Roundup For December 2, 2022 : 1A - NPR",15
2022-11-28 00:00:00,2022-12-02 00:00:00,Mega Millions $333M jackpot (12/02/22): When and how to find out if you’ve won,8
2022-11-28 00:00:00,2022-12-03 00:00:00,Powerball winning numbers for 12/03/22: $81 Million Jackpot,66
2022-11-28 00:00:00,2022-12-03 00:00:00,Exchange Rates History for 3 December 2022 (03/12/2022),6
2022-11-28 00:00:00,2022-12-04 00:00:00,Powerball numbers for 12/3/22: Lottery results for $81M jackpot - IndyStar,7
2022-11-28 00:00:00,2022-12-04 00:00:00,"Full transcript of ""Face the Nation"" on Dec. 4, 2022 - CBS News",14
2022-11-28 00:00:00,2022-12-04 00:00:00,The 100 best songs of 2022 (complete with playlist!),3
2022-12-05 00:00:00,2022-12-05 00:00:00,"December 5, 2022 World Cup news and highlights | CNN",5
2022-12-05 00:00:00,2022-12-06 00:00:00,Best Music of 2022 : NPR,4
2022-12-05 00:00:00,2022-12-08 00:00:00,12-08-2022 Daily Edition - The Hollywood Reporter,26
2022-12-05 00:00:00,2022-12-10 00:00:00,"Daily horoscope for December 10, 2022 - The Denver Post",105
