crash_date,news_date,headline
2020-02-05,2020-01-30,US Dollar Exchange Rates for 30/01/2020 (30 January 2020)
2020-02-05,2020-01-30,"January 30, 2020 - Voice of America"
2020-02-05,2020-01-30,"CNN 10 - January 31, 2020"
2020-02-05,2020-01-30,"SUPER BOWL WEEK Highlights: Thursday, Jan. 30 - FOX Sports"
2020-02-05,2020-01-30,"Today's famous birthdays list for January 30, 2020 includes celebrities Christian Bale, Olivia Colman"
2020-02-05,2020-01-30,"Pagosa Springs' weather on January 30, 2020"
2020-02-05,2020-01-30,"January 30, 2020 - Voice of America"
2020-02-05,2020-01-30,"January 30, 2020 - CNN 10"
2020-02-05,2020-01-30,"CNN 10 - January 31, 2020 | CNN - CNN International"
2020-02-05,2020-01-30,"Steamboat Springs' weather on January 30, 2020"
2020-02-05,2020-01-30,"CNN 10 - January 30, 2020 | CNN - CNN International"
2020-02-05,2020-01-31,Exchange Rates History for 31 January 2020 (31/01/2020)
2020-02-05,2020-01-31,"The News Roundup For January 31, 2020 : 1A - NPR"
2020-02-05,2020-01-31,"User Clip: January 31, 2020 - Dr. Fauci - C-SPAN.org"
2020-02-05,2020-01-31,"Washington Week full episode for January 31, 2020 - PBS"
2020-02-05,2020-01-31,"January 31, 2020 - Voice of America"
2020-02-05,2020-01-31,"January 31, 2020 - Science Friday"
2020-02-05,2020-01-31,"January 31, 2020: Temporary Restriction on Entering the U.S. after Travel from China | International Student and Scholar Services - University of Colorado Boulder"
2020-02-05,2020-01-31,"January 31, 2020 - CNN 10"
2020-02-05,2020-01-31,"Comment on Kentucky | January 31, 2020 | Season 46 - PBS"
2020-02-05,2020-01-31,US Dollar Exchange Rates for 31/01/2020 (31 January 2020)
2020-02-05,2020-01-31,"January 31, 2020 - Voice of America"
2020-02-05,2020-02-01,Iraqi Dinar Exchange Rates for 02/01/2020 ( 2 January 2020)
2020-02-05,2020-02-01,Taiwan Dollar Exchange Rates for 02/01/2020 ( 2 January 2020)
2020-02-05,2020-02-01,2020 Democratic presidential candidates ranked: CNN’s latest analysis | CNN Politics
2020-02-05,2020-02-01,2020 Writers Guild of America Awards: WGA film and TV winners list - Entertainment Weekly
2020-02-05,2020-02-01,2020 Demands New Ways Of Thinking About Your Business - Forbes
2020-02-05,2020-02-01,2020 Democratic presidential candidates ranked: CNN’s latest analysis | CNN Politics
2020-02-05,2020-02-02,Today is 02/02/2020 – the first palindrome day in over 900 years
2020-02-05,2020-02-02,Today is 02/02/2020 – the first global palindrome day in 909 years - CNN
2020-02-05,2020-02-02,"Sunday, February 2, 2020, is a rare palindrome: 02/02/2020"
2020-02-05,2020-02-02,Mexican Peso Exchange Rates for 02/02/2020 ( 2 February 2020)
2020-02-05,2020-02-02,Why A Day Like Sunday Hasn't Been Seen In 900 Years - NPR
2020-02-05,2020-02-02,02.02.2020 is the first palindrome of its kind in over 900 years
